,model,perplexity_train,perplexity_test,topic_coherence,topic_diversity,file
0,R-ETM,39.6,328.3,0.07885209807828558,0.3096,movies
1,ETM,632.4,647.2,0.08282883524826928,0.2728,movies
2,LDA,4557.309075350595,8928181084.97964,,,movies
3,ZeroShotTM,490147.5146,476982.1537,0.054479939437537206,0.0,movies
4,CombinedTM,473741.985,463774.1564,0.05615253099419714,0.0,movies
5,R-ETM,34.5,516.8,0.3188090169101533,0.3504,email
6,ETM,763.2,758.0,0.23635500960071118,0.4112,email
7,LDA,2612.9410394463516,5964502.440259757,,,email
8,ZeroShotTM,477580.9,407738.1,-0.11204652592937463,0.0,email
9,CombinedTM,301272.4,245077.4,-0.17956402346507744,0.0,email
10,R-ETM,47.1,1224.5,0.16016843573581488,0.3064,books
11,ETM,1675.5,1717.6,0.16295473354493814,0.3416,books
12,LDA,4524.457766591784,2068412.6844127786,,,books
13,ZeroShotTM,315798.9,333945.1,-0.04711497835,0.0,books
14,CombinedTM,243154.4,203167.4,-0.0854587512,0.0,books
15,R-ETM,92.8,4878.8,0.1586974532756774,0.78,news
16,ETM,4191.4,5396.5,0.18157986174236593,0.7312,news
17,LDA,2400.48944686488,858024958304490.4,,,news
18,ZeroShotTM,495231.3564084686,349622.3935708687,-0.10706789236754352,0.0,news
19,CombinedTM,607338.927722617,591459.6017064918,-0.07172408314334514,0.0,news
